CODRUB;DESCRIP RUBRO;CODART;DESCRIP ART;VTA30D;STOFIJ;STODIS;PRELIS1;PRELIS2;PRELIS3;PRELIS4;PRELIS5;PRELIS6;PORCIVA;PREDOL;IMPINT;EXENTO;ENLACE;UNIDAD;KILOS;ESTADO
SLF;SEALF. S.A.;435;INTERRUPTOR FIJACION FRONTAL 63A 3LD2504 SIEMENS;15054143;0;0;0;3450.45;3696.91;3943.37;4189.83;4436.29;4682.75;21;0;0;0;;U;0;A
TEA;TEA;451;BORNERA FLEX 15A 12 PUENTES BFNT-15;B/1075-B/2000;0;0;0;320.12;342.99;365.85;388.72;411.58;434.45;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;635;INT TERMOMAG 2X32A SANDERSONS.;;0;0;0;116.4;124.72;133.03;141.35;149.66;157.98;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;636;INT TERMOMAG 2X20A SICA;;1;0;-2;105.15;112.66;120.17;127.68;135.19;142.71;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;637;INT TERMOMAG 2X25A SICA;;0;0;0;114.13;122.28;130.43;138.59;146.74;154.89;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;666;INT DIF 4X63A 300MA SIEMENS;;0;0;3;4181.13;4479.78;4778.44;5077.09;5375.74;5674.39;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;737;INT TERMOMAG 4X80A WEG MDW-C80-4;7890355193952;0;0;0;1449.21;1552.73;1656.24;1759.76;1863.27;1966.79;21;0;0;0;;U;0;A
TEA;TEA;1632;BORNERA UNIPOLAR T1-200A;B/0004;0;0;0;473.79;507.63;541.47;575.32;609.16;643;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;1814;INT TERMOMAG 1X40A ZOLODA;;0;0;0;69.18;74.12;79.06;84;88.94;93.89;21;0;0;0;;U;0;A
TEA;TEA;1863;BORNERA TETRAPOLAR T4-16A;B/0014;0;0;0;395.63;423.89;452.15;480.41;508.67;536.93;21;0;0;0;;U;0;A
TEA;TEA;1864;BORNERA BIPOLAR T2-60A;B/0008;0;0;0;369.8;396.22;422.63;449.05;475.46;501.87;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;2526;INT HORARIO 16A SICA;7791772009515;0;0;0;1068.75;1145.09;1221.43;1297.77;1374.11;1450.45;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;2530;INT DIF 2X40A 240V PSG 30mA;;0;0;0;462.44;495.47;528.5;561.53;594.56;627.59;21;0;0;0;;U;0;A
