NROMOV;TIPASI;TIPCOM;SERCOM;NROCOM;FECCOM;CODCTA;TOTDEB;TOTCRE;SALLIB ;OBSERV
38;VentaFac;FACT-B;0;1;78222;2;0;0;0;0
39;VentaFac;FACT-B;0;2;78222;2;96;96;0;0
40;VentaFac;FACT-B;0;3;78222;2;411;411;0;0
41;VentaFac;FACT-B;0;4;78223;2;96;96;0;0
44;VentaFac;FACT-B;0;6;78228;2;245;245;0;0
42;VentaFac;FACT-B;0;7;78236;2;60;60;0;
45;VentaFac;FACT-B;0;8;78241;2;91.6;91.6;0;0
46;VentaFac;FACT-B;0;9;78242;2;2.34;2.34;0;0
47;VentaFac;FACT-B;0;10;78243;2;7.05;7.05;0;
48;VentaFac;FACT-B;0;11;78243;2;6.87;6.87;0;
49;VentaFac;FACT-B;0;12;78243;2;33.15;33.15;0;
50;VentaFac;FACT-B;0;13;78264;2;35765.92;35765.92;0;
51;VentaFac;FACT-B;0;15;80138;2;76.3;76.3;0;
53;VentaFac;FACT-B;5;124;80573;3;2560;0;0;materiales varios
55;VentaPag;RECIBO;0;2;80573;3;0;2560;0;cancela
52;VentaFac;FACT-B;5;123;80573;5;1200;0;0;
54;VentaPag;RECIBO;0;1;80573;5;0;400;0;
